Date,Open,High,Low,Close,Adj Close,Volume
2012-10-17,39.529041,39.529041,38.509617,38.795437,13.962730,33279679
2012-10-18,39.005039,39.300385,38.662052,39.228931,14.118746,42712202
2012-10-19,39.062202,39.333733,38.604889,38.819256,13.971304,32476508
2012-10-22,38.604889,39.100311,38.404812,38.857365,13.985021,23557192
2012-10-23,38.490559,39.052673,38.457214,38.528667,13.866719,17672606
2012-10-25,38.595360,38.757324,37.909389,37.995136,13.674698,46090313
2012-10-29,38.204739,38.519142,38.023720,38.304775,13.786141,19720297
2012-10-30,38.304775,38.461979,37.394913,37.447311,13.477533,22332477
2012-10-31,37.537823,37.695026,37.023346,37.366329,13.448384,40172024
2012-11-01,37.442551,38.099937,37.347275,37.866516,13.628407,26009957
2012-11-02,38.147575,38.485798,37.966557,38.333359,13.796427,27035257
2012-11-05,38.023720,38.085648,37.680733,37.885571,13.635265,17941726
2012-11-06,37.547352,38.080883,37.523533,38.009426,13.679841,25496332
2012-11-07,37.785534,38.576305,37.785534,38.295250,13.782711,25479402
2012-11-08,38.061829,38.562016,37.785534,38.485798,13.851290,23801603
2012-11-09,38.509617,38.943111,36.727997,37.209129,13.391807,60423749
2012-11-11,null,null,null,null,null,null
2012-11-12,36.737522,36.804214,36.323086,36.594612,13.170640,39749568
2012-11-15,36.670834,36.670834,35.641876,35.765732,12.872319,35377237
2012-11-16,35.727623,36.194466,35.170273,35.260784,12.690587,32750162
2012-11-19,35.251255,35.599003,34.498592,34.631977,12.464273,38111665
2012-11-20,35.060707,35.089291,34.212772,34.350918,12.363118,33792979
2012-11-21,34.555756,34.927326,34.303284,34.751068,12.507137,24687556
2012-11-22,35.060707,35.198856,34.555756,34.865398,12.548284,31030201
2012-11-23,34.941616,35.094055,34.417610,34.760597,12.510567,23422936
2012-11-26,34.798706,35.651405,34.798706,35.427509,12.750591,30278787
2012-11-27,35.727623,36.099190,35.570423,35.818134,12.891182,33361307
2012-11-29,35.918171,36.370720,35.794315,35.899117,12.920327,41588544
2012-11-30,35.899117,36.947124,35.899117,36.794689,13.242650,50588754
2012-12-03,36.966183,37.485424,36.870907,37.223419,13.396951,36295843
2012-12-04,37.252003,37.380623,36.842323,37.171021,13.378091,25370337
2012-12-05,37.594986,38.099937,37.409203,37.937973,13.654124,41523846
2012-12-06,38.071358,38.481033,37.375858,38.090408,13.708987,27348680
2012-12-07,38.347649,38.485798,37.356804,37.561642,13.518680,37004318
2012-12-10,37.633099,38.195210,37.590225,38.138046,13.726130,27241547
2012-12-11,38.361938,38.385757,37.413967,37.737900,13.582117,32269620
2012-12-12,37.814117,38.138046,37.575932,37.675968,13.559824,32891576
2012-12-13,37.785534,37.885571,36.889961,37.028111,13.326658,32126233
2012-12-14,37.061455,38.114227,36.870907,37.823643,13.612976,27656509
2012-12-17,37.966557,38.338123,37.666443,38.018955,13.683270,32740632
2012-12-18,38.214268,39.643372,37.737900,39.471878,14.206185,87529802
2012-12-19,39.814865,40.481777,39.638607,40.405560,14.542224,92730116
2012-12-20,40.300758,41.310661,39.605263,41.120113,14.799399,80793250
2012-12-21,40.805710,41.586952,40.486542,41.034367,14.768538,61059885
2012-12-24,40.977203,41.529789,40.672325,40.834293,14.696527,52382849
2012-12-26,40.872402,41.329716,40.748547,40.958149,14.741106,25553535
2012-12-27,41.253494,41.620300,40.967674,41.039131,14.770250,44194017
2012-12-28,41.143932,41.310661,40.615162,40.829529,14.694813,29737199
2012-12-31,40.739017,41.134403,40.686619,40.824764,14.693099,19279787
2013-01-01,41.148697,41.920410,41.096294,41.748920,15.025707,32584167
2013-01-02,42.158596,42.277687,41.615536,41.744156,15.023993,27256503
